name,category,node_count,cap,stop,hit_cap,allocated,live,nodes,memo,ratio,extracted_cost
synth_d3_s31,synthetic,30,2000,Quiesced,false,47,19,47,51,2.4737,122
synth_d3_s32,synthetic,39,2000,Quiesced,false,73,33,73,77,2.2121,324
synth_d3_s33,synthetic,21,2000,Quiesced,false,88,27,88,89,3.2593,33
synth_d3_s34,synthetic,9,500,Quiesced,false,12,8,12,13,1.5000,25
synth_d3_s35,synthetic,35,2000,Quiesced,false,47,26,47,48,1.8077,430
synth_d3_s36,synthetic,28,2000,Quiesced,false,37,20,37,42,1.8500,446
synth_d3_s37,synthetic,12,2000,Quiesced,false,14,9,14,15,1.5556,172
synth_d3_s38,synthetic,14,2000,Quiesced,false,17,10,17,18,1.7000,99
synth_d3_s39,synthetic,15,2000,Quiesced,false,23,13,23,24,1.7692,43
synth_d5_s0,synthetic,22,2000,Quiesced,false,34,21,34,35,1.6190,603
synth_d5_s1,synthetic,58,5000,Quiesced,false,705,105,705,738,6.7143,441
synth_d5_s2,synthetic,50,2000,Quiesced,false,96,42,96,101,2.2857,532
synth_d5_s3,synthetic,84,5000,Quiesced,false,1123,177,1123,1195,6.3446,959
synth_d5_s4,synthetic,63,5000,Quiesced,false,314,74,314,331,4.2432,388
synth_d5_s5,synthetic,6,500,Quiesced,false,7,6,7,7,1.1667,242
synth_d5_s6,synthetic,55,5000,Quiesced,false,85,40,85,88,2.1250,394
synth_d5_s7,synthetic,51,5000,Quiesced,false,356,74,356,371,4.8108,906
synth_d5_s8,synthetic,71,5000,Quiesced,false,293,81,293,303,3.6173,652
synth_d5_s9,synthetic,52,5000,Quiesced,false,62,32,62,68,1.9375,631
synth_d5_s10,synthetic,40,2000,Quiesced,false,170,46,170,173,3.6957,336
synth_d5_s11,synthetic,81,5000,ClassCap,true,3656,363,3656,3862,10.0716,851
synth_d5_s12,synthetic,50,2000,Quiesced,false,259,78,259,267,3.3205,820
synth_d5_s13,synthetic,21,2000,Quiesced,false,28,9,28,33,3.1111,133
synth_d5_s14,synthetic,34,2000,Quiesced,false,42,25,42,46,1.6800,442
synth_d5_s15,synthetic,114,5000,Quiesced,false,250,99,250,256,2.5253,1740
synth_d5_s16,synthetic,25,2000,Quiesced,false,33,19,33,36,1.7368,391
synth_d5_s17,synthetic,43,2000,Quiesced,false,60,32,60,65,1.8750,443
synth_d5_s18,synthetic,49,2000,Quiesced,false,66,40,66,68,1.6500,386
synth_d5_s19,synthetic,22,2000,Quiesced,false,39,20,39,40,1.9500,211
synth_d5_s20,synthetic,48,2000,Quiesced,false,133,50,133,139,2.6600,394
synth_d5_s21,synthetic,42,2000,Quiesced,false,50,31,50,53,1.6129,679
synth_d5_s22,synthetic,56,5000,Quiesced,false,123,47,123,126,2.6170,915
synth_d5_s23,synthetic,63,5000,Quiesced,false,82,44,82,88,1.8636,759
synth_d5_s24,synthetic,49,2000,Quiesced,false,218,61,218,229,3.5738,823
synth_d5_s25,synthetic,22,2000,Quiesced,false,30,17,30,32,1.7647,237
synth_d5_s26,synthetic,44,2000,Quiesced,false,93,40,93,97,2.3250,793
synth_d5_s27,synthetic,27,2000,Quiesced,false,48,23,48,51,2.0870,356
synth_d5_s28,synthetic,61,5000,Quiesced,false,93,48,93,97,1.9375,679
synth_d5_s29,synthetic,69,5000,Quiesced,false,115,59,115,118,1.9492,1140
synth_d5_s30,synthetic,34,2000,Quiesced,false,51,27,51,54,1.8889,471
synth_d5_s31,synthetic,56,5000,Quiesced,false,171,59,171,174,2.8983,588
synth_d5_s32,synthetic,109,5000,Quiesced,false,307,97,307,316,3.1649,1153
synth_d5_s33,synthetic,42,2000,Quiesced,false,69,36,69,73,1.9167,420
synth_d5_s34,synthetic,64,5000,Quiesced,false,183,67,183,187,2.7313,685
synth_d5_s35,synthetic,74,5000,Quiesced,false,172,68,172,176,2.5294,889
synth_d5_s36,synthetic,21,2000,Quiesced,false,26,16,26,28,1.6250,445
synth_d5_s37,synthetic,74,5000,Quiesced,false,337,99,337,350,3.4040,1147
synth_d5_s38,synthetic,38,2000,Quiesced,false,43,29,43,45,1.4828,824
synth_d5_s39,synthetic,28,2000,Quiesced,false,34,21,34,37,1.6190,591
synth_d7_s0,synthetic,53,5000,Quiesced,false,119,51,119,123,2.3333,724
synth_d7_s1,synthetic,166,5000,Quiesced,false,300,140,300,309,2.1429,2583
synth_d7_s2,synthetic,6,500,Quiesced,false,8,6,8,8,1.3333,94
synth_d7_s3,synthetic,186,5000,Quiesced,false,603,186,603,631,3.2419,2198
synth_d7_s4,synthetic,98,5000,Quiesced,false,498,111,498,503,4.4865,1419
synth_d7_s5,synthetic,54,5000,Quiesced,false,370,66,370,402,5.6061,652
synth_d7_s6,synthetic,95,5000,Quiesced,false,341,99,341,363,3.4444,1454
synth_d7_s7,synthetic,85,5000,Quiesced,false,777,138,777,796,5.6304,802
synth_d7_s8,synthetic,122,5000,ClassCap,true,3453,422,3453,3568,8.1825,1387
