kernel,family,class_cap,inserted_classes,classes_at_stop,live_classes,applications,stop,objective,dag_cost,tree_cost,extraction_objective,canonical_objective,canonical_dag_cost,tied_classes,seconds
shader_kaleidoscope_fold,shader,10000,43,131,40,319,Quiesced,34933520,560,107906368,TreeCheaper,34933520,560,12,0.001
shader_kaleidoscope_fold,shader,20000,43,131,40,319,Quiesced,34933520,560,107906368,TreeCheaper,34933520,560,12,0.001
shader_kaleidoscope_fold,shader,50000,43,131,40,319,Quiesced,34933520,560,107906368,TreeCheaper,34933520,560,12,0.001
shader_kaleidoscope_fold,shader,100000,43,131,40,319,Quiesced,34933520,560,107906368,TreeCheaper,34933520,560,12,0.001
shader_metaballs,shader,5000,52,2584,50,10074,ClassCap,8264960,155,17925632,Shared,8199424,154,25,0.054
shader_metaballs,shader,10000,52,8034,46,35591,ClassCap,7281920,140,17466880,TreeCheaper,7281920,140,22,0.389
shader_metaballs,shader,20000,52,13429,45,46375,ClassCap,7019776,136,17204736,TreeCheaper,7019776,136,21,0.706
shader_metaballs,shader,50000,52,33876,75,115282,ClassCap,9530880,255,22655488,TreeCheaper,9530880,255,55,13.487
shader_metaballs,shader,100000,52,82413,73,272259,ClassCap,14496000,270,38279680,TreeCheaper,14561536,271,50,114.256
shader_julia_set,shader,5000,110,4535,123,14158,ClassCap,45226752,717,583256506368,TreeCheaper,45619968,723,77,0.033
shader_julia_set,shader,10000,110,8475,140,20357,ClassCap,50663936,791,17729327490048,Shared,48632320,760,67,0.043
shader_julia_set,shader,20000,110,17032,118,41823,ClassCap,43459072,697,551213438976,TreeCheaper,43588352,692,67,0.330
shader_julia_set,shader,50000,110,34749,170,68429,ClassCap,55980544,904,9584548203520,Shared,54015232,877,68,0.838
shader_julia_set,shader,100000,110,77831,174,184207,ClassCap,61214208,948,6249101981184,TreeCheaper,61214208,948,144,25.181
shader_smoothstep_vignette,shader,5000,50,283,49,1074,Quiesced,7867199,194,29399629,TreeCheaper,7867183,178,17,0.004
shader_smoothstep_vignette,shader,10000,50,283,49,1074,Quiesced,7867199,194,29399629,TreeCheaper,7867183,178,17,0.004
shader_smoothstep_vignette,shader,20000,50,283,49,1074,Quiesced,7867199,194,29399629,TreeCheaper,7867183,178,17,0.003
shader_smoothstep_vignette,shader,50000,50,283,49,1074,Quiesced,7867199,194,29399629,TreeCheaper,7867183,178,17,0.003
shader_smoothstep_vignette,shader,100000,50,283,49,1074,Quiesced,7867199,194,29399629,TreeCheaper,7867183,178,17,0.003
shader_torus_slice,shader,5000,34,2750,31,15310,ClassCap,6884110,130,12788260,Shared,6884110,130,11,0.031
shader_torus_slice,shader,10000,34,3005,31,28932,Quiesced,6884110,130,12788260,Shared,6884110,130,11,0.120
shader_torus_slice,shader,20000,34,3005,31,28932,Quiesced,6884110,130,12788260,Shared,6884110,130,11,0.120
shader_torus_slice,shader,50000,34,3005,31,28932,Quiesced,6884110,130,12788260,Shared,6884110,130,11,0.121
shader_torus_slice,shader,100000,34,3005,31,28932,Quiesced,6884110,130,12788260,Shared,6884110,130,11,0.121
psychedelic_packed,psychedelic,5000,112,4670,112,7328,ClassCap,750939309,825,4044763099,TreeCheaper,750939309,825,33,0.020
psychedelic_packed,psychedelic,10000,112,7141,111,11318,ClassCap,750944705,826,4044756625,TreeCheaper,750944705,826,31,0.025
psychedelic_packed,psychedelic,20000,112,17907,111,34631,ClassCap,750944708,829,4044756618,TreeCheaper,750944708,829,33,0.079
psychedelic_packed,psychedelic,50000,112,47130,111,103075,ClassCap,750944708,829,4044756618,TreeCheaper,750944708,829,34,0.261
psychedelic_packed,psychedelic,100000,112,92102,111,170242,ClassCap,750944708,829,4044756618,TreeCheaper,750944708,829,34,0.408
glyph16_U0020,glyph16,5000,1,1,1,0,Quiesced,0,0,0,TreeCheaper,0,0,0,0.000
glyph16_U0020,glyph16,10000,1,1,1,0,Quiesced,0,0,0,TreeCheaper,0,0,0,0.000
glyph16_U0020,glyph16,20000,1,1,1,0,Quiesced,0,0,0,TreeCheaper,0,0,0,0.000
glyph16_U0021,glyph16,5000,138,2674,105,8771,ClassCap,36302,362,51578,TreeCheaper,36302,362,35,0.069
glyph16_U0021,glyph16,10000,138,7498,91,34662,ClassCap,36215,275,51252,TreeCheaper,36215,275,38,0.881
glyph16_U0021,glyph16,20000,138,14430,86,69303,ClassCap,34921,256,51228,TreeCheaper,34921,256,33,6.012
glyph16_U0022,glyph16,5000,93,1642,62,17694,Quiesced,28825,175,36872,TreeCheaper,28825,175,25,0.124
glyph16_U0022,glyph16,10000,93,1642,62,17694,Quiesced,28825,175,36872,TreeCheaper,28825,175,25,0.123
