name,group,arm,node_count,stop,allocated,live,nodes,memo,bytes_proxy,applications,iterations,unions,extracted_cost,elapsed_ns
glyph16:U+0035,glyph16,allocated,4546,ClassCap(Allocated),4981,2683,4981,5017,838824,2926,1,2243,8145,15959000
glyph16:U+0035,glyph16,live,4546,ClassCap(Live),7177,3212,7177,7213,1207752,5204,1,3910,8145,20418750
glyph16:U+0036,glyph16,allocated,8067,ClassCap(Allocated),5000,3663,5000,5058,843248,1387,1,1337,15249,16992041
glyph16:U+0036,glyph16,live,8067,ClassCap(Live),8240,4576,8240,8346,1390256,4642,1,3643,14872,26387000
glyph16:U+0037,glyph16,allocated,191,ClassCap(Allocated),2792,378,2792,3007,481096,12362,4,2394,288,84538500
glyph16:U+0037,glyph16,live,191,ClassCap(Live),4931,604,4931,5210,844032,24454,5,4301,278,359298833
glyph16:U+0038,glyph16,allocated,9774,ClassCap(Allocated),5000,4420,5000,5002,840112,581,1,580,18500,17109542
glyph16:U+0038,glyph16,live,9774,ClassCap(Live),7225,4832,7225,7320,1219120,2841,1,2392,18085,24266084
glyph16:U+0039,glyph16,allocated,8267,ClassCap(Allocated),5000,3774,5000,5036,842016,1260,1,1226,15698,16600500
glyph16:U+0039,glyph16,live,8267,ClassCap(Live),8215,4626,8215,8292,1384432,4482,1,3553,15201,26660667
glyph16:U+003A,glyph16,allocated,3655,ClassCap(Allocated),4854,2312,4854,4871,816424,3374,1,2481,6228,14513625
glyph16:U+003A,glyph16,live,3655,ClassCap(Live),5834,2535,5834,5851,981064,4429,1,3238,6228,16387458
glyph16:U+003B,glyph16,allocated,3494,ClassCap(Allocated),4855,2307,4855,4876,816816,3371,1,2490,6080,14343834
glyph16:U+003B,glyph16,live,3494,ClassCap(Live),10367,3029,10367,10643,1757112,15562,2,7245,5609,47020500
glyph16:U+003C,glyph16,allocated,295,ClassCap(Allocated),2697,420,2697,2969,468328,7887,3,2261,514,31288416
glyph16:U+003C,glyph16,live,295,ClassCap(Live),3406,435,3406,3688,588000,24555,5,2955,470,96902750
glyph16:U+003D,glyph16,allocated,183,Quiesced,1514,172,1514,1672,263200,21429,7,1334,231,49228958
glyph16:U+003D,glyph16,live,183,Quiesced,1514,172,1514,1672,263200,21429,7,1334,231,49418459
glyph16:U+003E,glyph16,allocated,295,ClassCap(Allocated),2711,421,2711,2980,470512,7897,3,2274,519,33043334
glyph16:U+003E,glyph16,live,295,ClassCap(Live),3419,436,3419,3698,590016,24643,5,2967,475,103459916
